# Month,Day,Year,AvgTemperature
1,1,2010,5
1,2,2010,2
1,3,2010,3
1,4,2010,2
1,5,2010,3
1,6,2010,3
1,7,2010,3
1,8,2010,2
1,9,2010,2
1,10,2010,2
1,11,2010,3
1,12,2010,3
1,13,2010,2
1,14,2010,3
1,15,2010,6
1,16,2010,6
1,17,2010,5
1,18,2010,5
1,19,2010,6
1,20,2010,5
1,21,2010,3
1,22,2010,3
1,23,2010,3
1,24,2010,4
1,25,2010,7
1,26,2010,6
1,27,2010,5
1,28,2010,4
1,29,2010,2
1,30,2010,2
1,31,2010,2
2,1,2010,2
2,2,2010,2
2,3,2010,2
2,4,2010,2
2,5,2010,3
2,6,2010,2
2,7,2010,2
2,8,2010,3
2,9,2010,3
2,10,2010,4
2,11,2010,3
2,12,2010,2
2,13,2010,3
2,14,2010,4
2,15,2010,4
2,16,2010,4
2,17,2010,5
2,18,2010,5
2,19,2010,5
2,20,2010,5
2,21,2010,5
2,22,2010,4
2,23,2010,6
2,24,2010,6
2,25,2010,6
2,26,2010,7
2,27,2010,7
2,28,2010,6
3,1,2010,7
3,2,2010,6
3,3,2010,6
3,4,2010,6
3,5,2010,6
3,6,2010,6
3,7,2010,7
3,8,2010,8
3,9,2010,7
3,10,2010,6
3,11,2010,7
3,12,2010,7
3,13,2010,8
3,14,2010,7
3,15,2010,8
3,16,2010,8
3,17,2010,9
3,18,2010,9
3,19,2010,9
3,20,2010,8
3,21,2010,6
3,22,2010,7
3,23,2010,7
3,24,2010,7
3,25,2010,8
3,26,2010,4
3,27,2010,4
3,28,2010,6
3,29,2010,7
3,30,2010,7
3,31,2010,9
4,1,2010,9
4,2,2010,11
4,3,2010,13
4,4,2010,12
4,5,2010,10
4,6,2010,10
4,7,2010,10
4,8,2010,8
4,9,2010,8
4,10,2010,8
4,11,2010,8
4,12,2010,8
4,13,2010,9
4,14,2010,10
4,15,2010,9
4,16,2010,8
4,17,2010,8
4,18,2010,8
4,19,2010,10
4,20,2010,11
4,21,2010,11
4,22,2010,8
4,23,2010,8
4,24,2010,10
4,25,2010,10
4,26,2010,10
4,27,2010,8
4,28,2010,8
4,29,2010,9
4,30,2010,10
5,1,2010,11
5,2,2010,12
5,3,2010,13
5,4,2010,12
5,5,2010,11
5,6,2010,11
5,7,2010,9
5,8,2010,8
5,9,2010,7
5,10,2010,8
5,11,2010,9
5,12,2010,10
5,13,2010,10
5,14,2010,10
5,15,2010,11
5,16,2010,11
5,17,2010,12
5,18,2010,13
5,19,2010,12
5,20,2010,13
5,21,2010,12
5,22,2010,12
5,23,2010,13
5,24,2010,14
5,25,2010,14
5,26,2010,15
5,27,2010,14
5,28,2010,13
5,29,2010,13
5,30,2010,12
5,31,2010,12
6,1,2010,13
6,2,2010,13
6,3,2010,12
6,4,2010,12
6,5,2010,13
6,6,2010,10
6,7,2010,11
6,8,2010,11
6,9,2010,11
6,10,2010,11
6,11,2010,12
6,12,2010,12
6,13,2010,13
6,14,2010,12
6,15,2010,12
6,16,2010,11
6,17,2010,12
6,18,2010,14
6,19,2010,14
6,20,2010,14
6,21,2010,13
6,22,2010,13
6,23,2010,13
6,24,2010,13
6,25,2010,12
6,26,2010,12
6,27,2010,11
6,28,2010,14
6,29,2010,12
6,30,2010,11
7,1,2010,11
7,2,2010,12
7,3,2010,14
7,4,2010,15
7,5,2010,15
7,6,2010,15
7,7,2010,15
7,8,2010,15
7,9,2010,15
7,10,2010,14
7,11,2010,15
7,12,2010,14
7,13,2010,13
7,14,2010,14
7,15,2010,15
7,16,2010,15
7,17,2010,15
7,18,2010,14
7,19,2010,13
7,20,2010,14
7,21,2010,13
7,22,2010,14
7,23,2010,13
7,24,2010,13
7,25,2010,14
7,26,2010,14
7,27,2010,14
7,28,2010,14
7,29,2010,13
7,30,2010,12
7,31,2010,12
8,1,2010,13
8,2,2010,14
8,3,2010,14
8,4,2010,14
8,5,2010,15
8,6,2010,13
8,7,2010,12
8,8,2010,13
8,9,2010,13
8,10,2010,12
8,11,2010,13
8,12,2010,13
8,13,2010,13
8,14,2010,14
8,15,2010,13
8,16,2010,14
8,17,2010,13
8,18,2010,13
8,19,2010,13
8,20,2010,12
8,21,2010,12
8,22,2010,12
8,23,2010,13
8,24,2010,13
8,25,2010,13
8,26,2010,12
8,27,2010,12
8,28,2010,13
8,29,2010,14
8,30,2010,14
8,31,2010,15
9,1,2010,15
9,2,2010,15
9,3,2010,15
9,4,2010,12
9,5,2010,11
9,6,2010,11
9,7,2010,13
9,8,2010,12
9,9,2010,11
9,10,2010,11
9,11,2010,11
9,12,2010,11
9,13,2010,11
9,14,2010,11
9,15,2010,10
9,16,2010,9
9,17,2010,10
9,18,2010,10
9,19,2010,11
9,20,2010,10
9,21,2010,10
9,22,2010,13
9,23,2010,10
9,24,2010,11
9,25,2010,12
9,26,2010,10
9,27,2010,10
9,28,2010,12
9,29,2010,12
9,30,2010,11
10,1,2010,11
10,2,2010,9
10,3,2010,8
10,4,2010,9
10,5,2010,10
10,6,2010,10
10,7,2010,10
10,8,2010,10
10,9,2010,9
10,10,2010,9
10,11,2010,9
10,12,2010,8
10,13,2010,9
10,14,2010,10
10,15,2010,9
10,16,2010,9
10,17,2010,9
10,18,2010,8
10,19,2010,8
10,20,2010,9
10,21,2010,8
10,22,2010,7
10,23,2010,7
10,24,2010,7
10,25,2010,8
10,26,2010,11
10,27,2010,11
10,28,2010,11
10,29,2010,8
10,30,2010,7
10,31,2010,6
11,1,2010,6
11,2,2010,6
11,3,2010,7
11,4,2010,7
11,5,2010,7
11,6,2010,6
11,7,2010,6
11,8,2010,6
11,9,2010,8
11,10,2010,7
11,11,2010,7
11,12,2010,7
11,13,2010,8
11,14,2010,8
11,15,2010,8
11,16,2010,8
11,17,2010,9
11,18,2010,7
11,19,2010,5
11,20,2010,7
11,21,2010,4
11,22,2010,6
11,23,2010,8
11,24,2010,6
11,25,2010,4
11,26,2010,5
11,27,2010,5
11,28,2010,5
11,29,2010,6
11,30,2010,6
12,1,2010,8
12,2,2010,6
12,3,2010,6
12,4,2010,4
12,5,2010,4
12,6,2010,4
12,7,2010,4
12,8,2010,3
12,9,2010,2
12,10,2010,2
12,11,2010,5
12,12,2010,5
12,13,2010,4
12,14,2010,2
12,15,2010,2
12,16,2010,2
12,17,2010,2
12,18,2010,4
12,19,2010,4
12,20,2010,4
12,21,2010,4
12,22,2010,4
12,23,2010,4
12,24,2010,3
12,25,2010,3
12,26,2010,3
12,27,2010,2
12,28,2010,3
12,29,2010,5
12,30,2010,6
12,31,2010,7
1,1,2011,7
1,2,2011,7
1,3,2011,5
1,4,2011,4
1,5,2011,4
1,6,2011,3
1,7,2011,3
1,8,2011,4
1,9,2011,3
1,10,2011,2
1,11,2011,2
1,12,2011,3
1,13,2011,3
1,14,2011,2
1,15,2011,2
1,16,2011,2
1,17,2011,2
1,18,2011,2
1,19,2011,3
1,20,2011,2
1,21,2011,2
1,22,2011,2
1,23,2011,2
1,24,2011,2
1,25,2011,2
1,26,2011,2
1,27,2011,4
1,28,2011,4
1,29,2011,4
1,30,2011,2
1,31,2011,2
2,1,2011,2
2,2,2011,3
2,3,2011,2
2,4,2011,4
2,5,2011,5
2,6,2011,6
2,7,2011,6
2,8,2011,2
2,9,2011,2
2,10,2011,2
2,11,2011,2
2,12,2011,4
2,13,2011,3
2,14,2011,6
2,15,2011,2
2,16,2011,2
2,17,2011,5
2,18,2011,8
2,19,2011,4
2,20,2011,2
2,21,2011,2
2,22,2011,2
2,23,2011,3
2,24,2011,4
2,25,2011,5
2,26,2011,2
2,27,2011,3
2,28,2011,5
3,1,2011,4
3,2,2011,4
3,3,2011,2
3,4,2011,3
3,5,2011,6
3,6,2011,5
3,7,2011,3
3,8,2011,3
3,9,2011,3
3,10,2011,6
3,11,2011,7
3,12,2011,7
3,13,2011,6
3,14,2011,5
3,15,2011,6
3,16,2011,7
3,17,2011,7
3,18,2011,9
3,19,2011,5
3,20,2011,5
3,21,2011,6
3,22,2011,6
3,23,2011,4
3,24,2011,5
3,25,2011,4
3,26,2011,4
3,27,2011,4
3,28,2011,4
3,29,2011,6
3,30,2011,7
3,31,2011,7
4,1,2011,8
4,2,2011,8
4,3,2011,7
4,4,2011,7
4,5,2011,8
4,6,2011,6
4,7,2011,7
4,8,2011,8
4,9,2011,9
4,10,2011,9
4,11,2011,11
4,12,2011,9
4,13,2011,9
4,14,2011,8
4,15,2011,6
4,16,2011,6
4,17,2011,7
4,18,2011,7
4,19,2011,7
4,20,2011,7
4,21,2011,7
4,22,2011,8
4,23,2011,9
4,24,2011,9
4,25,2011,9
4,26,2011,10
4,27,2011,10
4,28,2011,12
4,29,2011,9
4,30,2011,9
5,1,2011,11
5,2,2011,11
5,3,2011,8
5,4,2011,8
5,5,2011,9
5,6,2011,9
5,7,2011,10
5,8,2011,10
5,9,2011,11
5,10,2011,11
5,11,2011,11
5,12,2011,11
5,13,2011,12
5,14,2011,11
5,15,2011,10
5,16,2011,9
5,17,2011,9
5,18,2011,10
5,19,2011,12
5,20,2011,13
5,21,2011,13
5,22,2011,12
5,23,2011,13
5,24,2011,13
5,25,2011,10
5,26,2011,11
5,27,2011,10
5,28,2011,10
5,29,2011,13
5,30,2011,14
5,31,2011,14
6,1,2011,15
6,2,2011,11
6,3,2011,11
6,4,2011,12
6,5,2011,12
6,6,2011,13
6,7,2011,14
6,8,2011,15
6,9,2011,14
6,10,2011,12
6,11,2011,13
6,12,2011,12
6,13,2011,11
6,14,2011,12
6,15,2011,14
6,16,2011,14
6,17,2011,13
6,18,2011,13
6,19,2011,12
6,20,2011,13
6,21,2011,14
6,22,2011,13
6,23,2011,13
6,24,2011,13
6,25,2011,13
6,26,2011,13
6,27,2011,14
6,28,2011,14
6,29,2011,12
6,30,2011,12
7,1,2011,13
7,2,2011,14
7,3,2011,15
7,4,2011,15
7,5,2011,14
7,6,2011,14
7,7,2011,13
7,8,2011,13
7,9,2011,13
7,10,2011,14
7,11,2011,15
7,12,2011,15
7,13,2011,13
7,14,2011,13
7,15,2011,14
7,16,2011,14
7,17,2011,15
7,18,2011,14
7,19,2011,14
7,20,2011,15
7,21,2011,15
7,22,2011,15
7,23,2011,15
7,24,2011,14
7,25,2011,13
7,26,2011,13
7,27,2011,13
7,28,2011,14
7,29,2011,14
7,30,2011,14
7,31,2011,14
8,1,2011,15
8,2,2011,14
8,3,2011,13
8,4,2011,14
8,5,2011,14
8,6,2011,15
8,7,2011,14
8,8,2011,14
8,9,2011,13
8,10,2011,13
8,11,2011,12
8,12,2011,13
8,13,2011,14
8,14,2011,14
8,15,2011,13
8,16,2011,13
8,17,2011,13
8,18,2011,14
8,19,2011,14
8,20,2011,14
8,21,2011,13
8,22,2011,12
8,23,2011,12
8,24,2011,13
8,25,2011,14
8,26,2011,12
8,27,2011,13
8,28,2011,13
8,29,2011,12
8,30,2011,12
8,31,2011,13
9,1,2011,13
9,2,2011,14
9,3,2011,15
9,4,2011,14
9,5,2011,12
9,6,2011,11
9,7,2011,11
9,8,2011,12
9,9,2011,13
9,10,2011,12
9,11,2011,12
9,12,2011,13
9,13,2011,13
9,14,2011,12
9,15,2011,10
9,16,2011,9
9,17,2011,10
9,18,2011,10
9,19,2011,11
9,20,2011,12
9,21,2011,12
9,22,2011,13
9,23,2011,12
9,24,2011,13
9,25,2011,13
9,26,2011,12
9,27,2011,13
9,28,2011,13
9,29,2011,13
9,30,2011,11
10,1,2011,9
10,2,2011,9
10,3,2011,10
10,4,2011,11
10,5,2011,10
10,6,2011,9
10,7,2011,10
10,8,2011,12
10,9,2011,13
10,10,2011,13
10,11,2011,11
10,12,2011,10
10,13,2011,10
10,14,2011,12
10,15,2011,10
10,16,2011,9
10,17,2011,9
10,18,2011,9
10,19,2011,9
10,20,2011,10
10,21,2011,9
10,22,2011,9
10,23,2011,8
10,24,2011,8
10,25,2011,9
10,26,2011,8
10,27,2011,7
10,28,2011,6
10,29,2011,6
10,30,2011,7
10,31,2011,8
11,1,2011,8
11,2,2011,9
11,3,2011,9
11,4,2011,7
11,5,2011,6
11,6,2011,7
11,7,2011,9
11,8,2011,9
11,9,2011,10
11,10,2011,10
11,11,2011,7
11,12,2011,7
11,13,2011,9
11,14,2011,11
11,15,2011,9
11,16,2011,9
11,17,2011,7
11,18,2011,6
11,19,2011,8
11,20,2011,9
11,21,2011,5
11,22,2011,4
11,23,2011,5
11,24,2011,6
11,25,2011,8
11,26,2011,9
11,27,2011,8
11,28,2011,9
11,29,2011,7
11,30,2011,7
12,1,2011,5
12,2,2011,6
12,3,2011,5
12,4,2011,7
12,5,2011,9
12,6,2011,6
12,7,2011,6
12,8,2011,6
12,9,2011,6
12,10,2011,5
12,11,2011,5
12,12,2011,7
12,13,2011,6
12,14,2011,7
12,15,2011,8
12,16,2011,7
12,17,2011,3
12,18,2011,2
12,19,2011,6
12,20,2011,4
12,21,2011,4
12,22,2011,6
12,23,2011,4
12,24,2011,2
12,25,2011,2
12,26,2011,4
12,27,2011,6
12,28,2011,4
12,29,2011,2
12,30,2011,2
12,31,2011,4
1,1,2012,5
1,2,2012,6
1,3,2012,2
1,4,2012,2
1,5,2012,3
1,6,2012,2
1,7,2012,3
1,8,2012,3
1,9,2012,4
1,10,2012,6
1,11,2012,2
1,12,2012,3
1,13,2012,5
1,14,2012,2
1,15,2012,2
1,16,2012,2
1,17,2012,3
1,18,2012,3
1,19,2012,2
1,20,2012,2
1,21,2012,2
1,22,2012,2
1,23,2012,4
1,24,2012,7
1,25,2012,5
1,26,2012,3
1,27,2012,5
1,28,2012,5
1,29,2012,5
1,30,2012,3
1,31,2012,3
2,1,2012,4
2,2,2012,4
2,3,2012,3
2,4,2012,4
2,5,2012,2
2,6,2012,6
2,7,2012,5
2,8,2012,2
2,9,2012,5
2,10,2012,5
2,11,2012,2
2,12,2012,2
2,13,2012,3
2,14,2012,5
2,15,2012,6
2,16,2012,7
2,17,2012,7
2,18,2012,6
2,19,2012,4
2,20,2012,4
2,21,2012,5
2,22,2012,7
2,23,2012,6
2,24,2012,5
2,25,2012,5
2,26,2012,2
2,27,2012,3
2,28,2012,4
2,29,2012,3
3,1,2012,4
3,2,2012,4
3,3,2012,6
3,4,2012,3
3,5,2012,2
3,6,2012,2
3,7,2012,6
3,8,2012,9
3,9,2012,5
3,10,2012,4
3,11,2012,6
3,12,2012,8
3,13,2012,9
3,14,2012,8
3,15,2012,6
3,16,2012,7
3,17,2012,8
3,18,2012,10
3,19,2012,11
3,20,2012,10
3,21,2012,13
3,22,2012,12
3,23,2012,11
3,24,2012,9
3,25,2012,8
3,26,2012,6
3,27,2012,5
3,28,2012,6
3,29,2012,7
3,30,2012,6
3,31,2012,7
4,1,2012,6
4,2,2012,7
4,3,2012,7
4,4,2012,8
4,5,2012,7
4,6,2012,7
4,7,2012,8
4,8,2012,9
4,9,2012,9
4,10,2012,8
4,11,2012,8
4,12,2012,9
4,13,2012,9
4,14,2012,9
4,15,2012,11
4,16,2012,12
4,17,2012,10
4,18,2012,7
4,19,2012,10
4,20,2012,9
4,21,2012,8
4,22,2012,8
4,23,2012,7
4,24,2012,8
4,25,2012,8
4,26,2012,7
4,27,2012,7
4,28,2012,6
4,29,2012,7
4,30,2012,8
5,1,2012,9
5,2,2012,9
5,3,2012,10
5,4,2012,11
5,5,2012,10
5,6,2012,10
5,7,2012,11
5,8,2012,11
5,9,2012,11
5,10,2012,9
5,11,2012,10
5,12,2012,11
5,13,2012,12
5,14,2012,12
5,15,2012,12
5,16,2012,11
5,17,2012,10
5,18,2012,10
5,19,2012,13
5,20,2012,14
5,21,2012,14
5,22,2012,13
5,23,2012,12
5,24,2012,13
5,25,2012,14
5,26,2012,13
5,27,2012,12
5,28,2012,12
5,29,2012,13
5,30,2012,13
5,31,2012,11
6,1,2012,10
6,2,2012,11
6,3,2012,10
6,4,2012,10
6,5,2012,12
6,6,2012,12
6,7,2012,12
6,8,2012,12
6,9,2012,12
6,10,2012,13
6,11,2012,15
6,12,2012,14
6,13,2012,12
6,14,2012,12
6,15,2012,12
6,16,2012,13
6,17,2012,14
6,18,2012,14
6,19,2012,14
6,20,2012,15
6,21,2012,15
6,22,2012,15
6,23,2012,14
6,24,2012,13
6,25,2012,11
6,26,2012,12
6,27,2012,13
6,28,2012,13
6,29,2012,15
6,30,2012,15
7,1,2012,14
7,2,2012,14
7,3,2012,14
7,4,2012,15
7,5,2012,14
7,6,2012,15
7,7,2012,15
7,8,2012,14
7,9,2012,13
7,10,2012,13
7,11,2012,14
7,12,2012,15
7,13,2012,15
7,14,2012,15
7,15,2012,15
7,16,2012,15
7,17,2012,15
7,18,2012,14
7,19,2012,13
7,20,2012,13
7,21,2012,13
7,22,2012,15
7,23,2012,15
7,24,2012,14
7,25,2012,13
7,26,2012,13
7,27,2012,14
7,28,2012,14
7,29,2012,14
7,30,2012,15
7,31,2012,14
8,1,2012,14
8,2,2012,14
8,3,2012,15
8,4,2012,15
8,5,2012,15
8,6,2012,13
8,7,2012,14
8,8,2012,13
8,9,2012,13
8,10,2012,13
8,11,2012,13
8,12,2012,13
8,13,2012,13
8,14,2012,13
8,15,2012,14
8,16,2012,14
8,17,2012,14
8,18,2012,12
8,19,2012,12
8,20,2012,12
8,21,2012,12
8,22,2012,13
8,23,2012,13
8,24,2012,14
8,25,2012,14
8,26,2012,15
8,27,2012,14
8,28,2012,13
8,29,2012,12
8,30,2012,13
8,31,2012,14
9,1,2012,13
9,2,2012,12
9,3,2012,13
9,4,2012,14
9,5,2012,13
9,6,2012,14
9,7,2012,13
9,8,2012,13
9,9,2012,10
9,10,2012,11
9,11,2012,11
9,12,2012,13
9,13,2012,13
9,14,2012,12
9,15,2012,11
9,16,2012,9
9,17,2012,11
9,18,2012,11
9,19,2012,10
9,20,2012,10
9,21,2012,11
9,22,2012,11
9,23,2012,10
9,24,2012,9
9,25,2012,11
9,26,2012,11
9,27,2012,10
9,28,2012,9
9,29,2012,10
9,30,2012,10
10,1,2012,11
10,2,2012,10
10,3,2012,11
10,4,2012,12
10,5,2012,12
10,6,2012,10
10,7,2012,8
10,8,2012,8
10,9,2012,9
10,10,2012,9
10,11,2012,8
10,12,2012,8
10,13,2012,7
10,14,2012,8
10,15,2012,10
10,16,2012,8
10,17,2012,8
10,18,2012,10
10,19,2012,10
10,20,2012,10
10,21,2012,9
10,22,2012,9
10,23,2012,9
10,24,2012,8
10,25,2012,9
10,26,2012,10
10,27,2012,10
10,28,2012,8
10,29,2012,9
10,30,2012,12
10,31,2012,10
11,1,2012,8
11,2,2012,7
11,3,2012,7
11,4,2012,7
11,5,2012,6
11,6,2012,5
11,7,2012,5
11,8,2012,6
11,9,2012,6
11,10,2012,7
11,11,2012,7
11,12,2012,9
11,13,2012,8
11,14,2012,6
11,15,2012,5
11,16,2012,5
11,17,2012,6
11,18,2012,5
11,19,2012,5
11,20,2012,6
11,21,2012,6
11,22,2012,8
11,23,2012,9
11,24,2012,6
11,25,2012,4
11,26,2012,4
11,27,2012,4
11,28,2012,4
11,29,2012,5
11,30,2012,2
12,1,2012,2
12,2,2012,6
12,3,2012,7
12,4,2012,8
12,5,2012,7
12,6,2012,4
12,7,2012,6
12,8,2012,6
12,9,2012,5
12,10,2012,5
12,11,2012,3
12,12,2012,3
12,13,2012,6
12,14,2012,6
12,15,2012,3
12,16,2012,3
12,17,2012,5
12,18,2012,6
12,19,2012,6
12,20,2012,4
12,21,2012,6
12,22,2012,5
12,23,2012,3
12,24,2012,2
12,25,2012,3
12,26,2012,2
12,27,2012,5
12,28,2012,3
12,29,2012,2
12,30,2012,2
12,31,2012,3
